Index,Region,Area,Asaltos,Poblacion,
55,Bay of Plenty Region,Arataki,65,5510,
56,Wellington Region,Masterton Central,64,640,
57,Auckland Region,Glen Eden East,64,7570,
58,Bay of Plenty Region,Opotiki,63,4130,
59,Canterbury Region,Riccarton,63,4610,
60,Auckland Region,Henderson South,63,5060,
61,Auckland Region,Papakura East,60,6770,
62,Bay of Plenty Region,Kawerau,59,6660,
63,Bay of Plenty Region,Whakatane North,57,3240,
64,Auckland Region,Clendon South,57,5560,
65,Auckland Region,Takapuna Central,56,3390,
66,Canterbury Region,Hornby North,56,3480,
67,Auckland Region,Takanini South,56,5630,
68,Wellington Region,Upper Hutt Central,54,330,
69,Manawatu-Wanganui Region,Levin West,54,2810,
70,Auckland Region,Middlemore,53,110,
71,Auckland Region,Grafton East,53,1290,
72,Auckland Region,Bledisloe Park,53,3130,
73,Canterbury Region,Linwood,53,4940,
74,Gisborne Region,Kaiti South,52,2940,
75,Canterbury Region,West Melton,52,8470,
76,Hawke's Bay Region,Bridge Pa,51,1240,
77,Auckland Region,Rongomai,50,5210,
78,Hawke's Bay Region,Maraenui,49,3350,
79,Northland Region,Kaitaia West,49,3540,
80,Bay of Plenty Region,Mt Maunganui North,49,4360,
81,Otago Region,Otago University,49,5280,
82,Bay of Plenty Region,Western Heights,48,3840,
83,Waikato Region,Hamilton East,48,4280,
84,Waikato Region,Tokoroa Central,47,790,
85,Auckland Region,Albany,47,3710,
86,Hawke's Bay Region,Flaxmere East,47,4090,
87,Auckland Region,Papatoetoe West,47,6340,
88,Auckland Region,Mangere East,47,6500,
89,Canterbury Region,Ashburton Central East,46,1780,
90,Waikato Region,Enderley,45,4660,
91,Gisborne Region,Te Hapara,45,4710,
92,Hawke's Bay Region,Marewa,45,4940,
93,Bay of Plenty Region,Victoria,44,1890,
94,Hawke's Bay Region,Camberley,44,2110,
95,Auckland Region,Papakura North,44,2640,
96,Auckland Region,Grey Lynn East,44,3700,
97,Auckland Region,Papatoetoe North,44,6120,
98,Manawatu-Wanganui Region,Laird Park,43,2250,
99,Hawke's Bay Region,Wairoa,43,4260,
100,Canterbury Region,Phillipstown,43,4300,
101,Auckland Region,Mascot,43,4410,
102,Auckland Region,Penrose,42,780,
103,Bay of Plenty Region,Tauranga Hospital,42,2020,
104,Auckland Region,Mt Eden North,42,3670,
105,Auckland Region,Dingwall,42,3980,
106,Auckland Region,Takanini North,42,3980,
107,Auckland Region,Kingdale,42,4080,
108,Auckland Region,Roberton,42,5890,
109,Wellington Region,Adelaide,41,1100,
110,Auckland Region,Mangere Bridge,41,6460,
111,Canterbury Region,Merivale,40,2830,
112,Wellington Region,Parkway,40,3270,
113,Auckland Region,Homai East,40,6870,
114,Northland Region,Kaitaia East,39,2070,
115,Canterbury Region,Northcote,39,2630,
116,Wellington Region,Cannons Creek North,39,3350,
117,Waikato Region,Peachgrove,39,3450,
118,Bay of Plenty Region,Greerton,39,4470,
119,Wellington Region,Thorndon-Tinakori Road,39,4520,
120,Waikato Region,Huntly West,38,3120,
121,Auckland Region,Te Papapa,38,3730,
122,Auckland Region,Onehunga South East,38,3820,
123,Auckland Region,Kingsland,38,5140,
124,Auckland Region,Westlake,38,5590,
125,Northland Region,Kerikeri,38,7110,
126,Waikato Region,Frankton Junction,37,2000,
127,Canterbury Region,Spreydon,37,3790,
128,Hawke's Bay Region,Onekawa South,37,4640,
